time,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,average_path
0.305556,93.665634,91.249948,118.947973,96.266961,94.808867,95.836535,91.420020,96.319684,80.618102,84.715304,101.531800
0.309524,93.253291,92.003042,118.634987,97.106323,94.921132,94.532253,91.917652,97.583465,80.904735,84.085981,101.552298
0.313492,92.488440,92.501743,121.048094,98.214006,95.143954,93.892758,94.112022,97.441055,79.891737,83.379316,101.570435
0.317460,90.627193,92.898112,121.806318,98.288597,94.215005,92.337513,94.080876,98.670827,79.377424,82.570577,101.591494
0.321429,88.411096,94.637994,122.118307,99.130097,95.736208,92.843158,95.016536,97.875142,78.947508,83.683866,101.609194
0.325397,88.089366,95.556666,124.904320,100.777996,97.634350,93.409109,93.629517,97.825864,77.542245,85.270310,101.632252
0.329365,87.088877,95.088970,126.099138,101.770046,95.932803,92.422125,94.155508,96.686606,78.054050,85.040010,101.648167
0.333333,87.772832,94.822355,127.563174,100.216730,94.698752,94.159106,93.662527,97.807242,76.327043,86.124816,101.665804
0.337302,87.574113,94.398152,131.473474,100.701958,95.139901,95.484746,94.579902,98.062099,77.443563,87.283579,101.680244
0.341270,87.726132,95.021515,132.255954,100.532803,95.049858,95.060721,94.023425,97.885665,78.658111,88.704836,101.703524
0.345238,87.240019,93.404479,132.078596,102.191770,94.590847,96.240680,94.140057,97.123486,78.993988,89.237330,101.726142
0.349206,87.126077,93.174008,132.728665,100.004286,95.579385,99.818181,94.669560,96.654707,79.348751,87.827990,101.748380
0.353175,85.402601,93.206392,128.733525,100.929675,95.319864,97.927907,93.841517,98.049531,78.192235,87.355472,101.769009
0.357143,86.008671,92.571541,127.440280,101.110502,96.258720,98.634132,94.243342,100.619743,77.585882,89.236221,101.791848
0.361111,87.409301,91.443961,128.490114,103.087374,97.011598,99.602537,93.972794,101.061497,76.969201,91.267220,101.803398
0.365079,88.338152,92.530470,126.275502,102.303628,98.800243,99.464129,92.376865,101.239258,78.524336,90.757142,101.823787
0.369048,90.467216,91.483423,125.775562,102.242774,97.268706,100.156617,93.203178,98.993770,77.553329,92.066670,101.842246
0.373016,92.247667,92.330708,124.699739,102.369075,97.238493,101.146715,93.950263,100.738752,75.944753,91.651170,101.862723
0.376984,91.501513,93.062463,123.018029,103.030242,98.663251,98.686837,93.739217,100.472569,76.031939,91.439359,101.876187
0.380952,91.066455,92.035509,120.748345,102.773443,99.653755,98.364802,93.390157,101.708062,75.683610,91.954055,101.892364
0.384921,93.628352,92.679784,122.605803,104.323851,99.104216,97.698454,93.702504,101.834488,77.044316,91.784909,101.914169
0.388889,93.706075,94.222486,122.026527,102.347920,97.381796,98.589592,94.189446,103.270515,79.325929,90.934387,101.941235
0.392857,90.590571,95.184455,121.557392,102.362509,96.676682,97.303999,93.652177,103.486189,81.232628,90.179471,101.961271
0.396825,91.783208,94.777559,121.978255,104.290131,97.372692,98.293478,91.598968,101.626082,79.195276,89.492480,101.976789
0.400794,91.207120,96.195336,121.167078,105.723540,97.912230,97.636011,93.144691,102.291695,79.623071,88.911460,101.999770
0.404762,91.338201,95.240742,120.012376,103.968817,97.562255,96.728534,93.929304,102.823099,80.304756,87.978453,102.024333
0.408730,92.017407,97.953625,118.096254,103.365640,97.894355,95.941925,91.720782,101.855165,81.066309,87.145561,102.047521
0.412698,90.668408,96.475487,117.478243,104.077696,99.167160,97.323683,90.937729,103.814444,81.057838,86.610254,102.059710
0.416667,90.542813,97.424025,117.515947,102.857346,99.126482,97.399698,91.301953,105.413750,80.180881,86.476795,102.079228
0.420635,88.578902,95.066296,117.794706,102.407670,100.218446,95.165461,91.319818,106.162127,78.988449,86.730021,102.103783
0.424603,90.014824,93.198830,116.510833,103.260776,98.532439,94.228301,91.814789,107.749787,78.540708,88.306684,102.120397
0.428571,90.245652,92.097982,116.486345,103.600171,97.317991,94.326298,92.422241,106.576247,77.757779,89.482680,102.141503
